,date,symbol,open,high,low,close,volume_btc,volume_usd
26649,2017-07-22 06:00:00,BTCUSD,2741.47,2757.15,2736.52,2752.15,244.09,670639.24
26650,2017-07-22 05:00:00,BTCUSD,2707.07,2743.5,2707.05,2741.47,426.85,1168156.52
26651,2017-07-22 04:00:00,BTCUSD,2714.9,2719.14,2698.01,2707.07,250.39,677280.27
26652,2017-07-22 03:00:00,BTCUSD,2732.6,2734.03,2709.5,2714.9,270.36,735595.22
26653,2017-07-22 02:00:00,BTCUSD,2702.09,2741.08,2690.97,2732.6,633.64,1725809.59
26654,2017-07-22 01:00:00,BTCUSD,2673.15,2719.12,2671.59,2702.09,488.38,1320608.77
26655,2017-07-22 00:00:00,BTCUSD,2657.45,2694.88,2646.95,2673.15,348.7,932343.08
26656,2017-07-21 23:00:00,BTCUSD,2692.92,2699.69,2650.63,2657.45,463.02,1235496.12
26657,2017-07-21 22:00:00,BTCUSD,2632.9,2694.25,2622.33,2692.92,660.2,1757700.48
26658,2017-07-21 21:00:00,BTCUSD,2632.94,2646.27,2617.0,2632.9,595.42,1566629.37
26659,2017-07-21 20:00:00,BTCUSD,2626.47,2649.0,2608.27,2632.94,826.55,2171421.57
26660,2017-07-21 19:00:00,BTCUSD,2633.2,2651.71,2612.1,2626.47,953.63,2511133.58
26661,2017-07-21 18:00:00,BTCUSD,2677.89,2712.06,2632.37,2633.2,898.2,2408578.24
26662,2017-07-21 17:00:00,BTCUSD,2727.0,2727.02,2665.04,2677.89,1224.14,3296173.28
26663,2017-07-21 16:00:00,BTCUSD,2719.52,2743.23,2708.01,2727.0,524.53,1428991.31
26664,2017-07-21 15:00:00,BTCUSD,2746.63,2753.0,2714.0,2719.52,710.15,1941632.57
26665,2017-07-21 14:00:00,BTCUSD,2763.04,2770.0,2735.0,2746.63,430.77,1186439.18
26666,2017-07-21 13:00:00,BTCUSD,2797.87,2798.0,2752.55,2763.04,798.48,2218956.55
26667,2017-07-21 12:00:00,BTCUSD,2764.81,2798.0,2752.63,2797.87,708.58,1963502.21
26668,2017-07-21 11:00:00,BTCUSD,2690.77,2764.9,2690.05,2764.81,664.1,1804919.89
26669,2017-07-21 10:00:00,BTCUSD,2735.5,2735.5,2690.06,2690.77,307.19,833337.89
26670,2017-07-21 09:00:00,BTCUSD,2705.31,2758.98,2703.86,2735.5,314.72,861548.66
26671,2017-07-21 08:00:00,BTCUSD,2773.01,2773.01,2700.49,2705.31,411.38,1125521.63
26672,2017-07-21 07:00:00,BTCUSD,2766.66,2773.01,2726.85,2773.01,707.1,1947679.06
26673,2017-07-21 06:00:00,BTCUSD,2787.91,2794.83,2745.5,2766.66,799.8,2218296.12
26674,2017-07-21 05:00:00,BTCUSD,2759.34,2797.0,2732.21,2787.91,773.4,2133320.07
26675,2017-07-21 04:00:00,BTCUSD,2721.54,2770.0,2678.42,2759.34,1082.48,2954397.46
26676,2017-07-21 03:00:00,BTCUSD,2715.03,2724.69,2653.2,2721.54,1447.64,3872375.85
26677,2017-07-21 02:00:00,BTCUSD,2798.81,2800.0,2700.0,2715.03,1969.7,5403185.87
26678,2017-07-21 01:00:00,BTCUSD,2746.0,2811.94,2743.09,2798.81,1503.93,4172234.42
26679,2017-07-21 00:00:00,BTCUSD,2873.48,2880.0,2681.0,2746.0,4225.03,11642270.2
26680,2017-07-20 23:00:00,BTCUSD,2846.0,2957.0,2741.01,2873.48,6210.78,17643459.86
26681,2017-07-20 22:00:00,BTCUSD,2740.0,2847.84,2739.99,2846.0,2247.52,6268782.22
26682,2017-07-20 21:00:00,BTCUSD,2729.99,2769.0,2700.73,2740.0,2114.03,5791658.81
26683,2017-07-20 20:00:00,BTCUSD,2651.94,2729.99,2650.4,2729.99,2504.07,6772397.47
26684,2017-07-20 19:00:00,BTCUSD,2649.59,2682.5,2628.08,2651.94,1647.02,4384758.35
26685,2017-07-20 18:00:00,BTCUSD,2600.08,2649.98,2565.0,2649.59,1373.74,3574004.07
26686,2017-07-20 17:00:00,BTCUSD,2588.14,2637.99,2584.11,2600.08,1515.41,3956730.59
26687,2017-07-20 16:00:00,BTCUSD,2622.0,2682.0,2584.25,2588.14,2020.19,5353024.26
26688,2017-07-20 15:00:00,BTCUSD,2573.5,2661.24,2573.5,2622.0,2090.54,5498497.62
26689,2017-07-20 14:00:00,BTCUSD,2607.66,2626.03,2552.79,2573.5,2338.3,6074588.4
26690,2017-07-20 13:00:00,BTCUSD,2511.24,2615.0,2502.25,2607.66,2294.12,5878263.66
26691,2017-07-20 12:00:00,BTCUSD,2462.41,2557.67,2427.54,2511.24,2837.61,7129633.53
26692,2017-07-20 11:00:00,BTCUSD,2332.79,2469.0,2332.25,2462.41,1502.68,3634806.07
26693,2017-07-20 10:00:00,BTCUSD,2322.62,2339.39,2322.2,2332.79,487.36,1136638.17
26694,2017-07-20 09:00:00,BTCUSD,2329.48,2329.81,2311.69,2322.62,250.38,580325.13
26695,2017-07-20 08:00:00,BTCUSD,2315.7,2329.48,2309.12,2329.48,287.51,666315.07
26696,2017-07-20 07:00:00,BTCUSD,2318.55,2323.39,2302.05,2315.7,363.52,841119.85
26697,2017-07-20 06:00:00,BTCUSD,2339.85,2349.22,2316.0,2318.55,391.94,916557.3
26698,2017-07-20 05:00:00,BTCUSD,2319.43,2344.74,2317.5,2339.85,462.6,1079197.08
26699,2017-07-20 04:00:00,BTCUSD,2320.01,2326.99,2316.5,2319.43,575.88,1337534.22
26700,2017-07-20 03:00:00,BTCUSD,2328.26,2332.68,2316.43,2320.01,746.34,1732940.19
26701,2017-07-20 02:00:00,BTCUSD,2312.36,2335.0,2296.06,2328.26,800.57,1856062.99
26702,2017-07-20 01:00:00,BTCUSD,2274.25,2317.56,2271.76,2312.36,715.02,1642072.6
